Start Date;10.02.2020
Start Time;15:26:44
Store Interval;15;min
Threshold;1.0;Volt
Puls On Time;1000;ms
Puls Off Time;3000;ms

Date;Time;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30
10.02.2020;15:41:44;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;15:56:44;2;3;0;0;0;0;17;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;16:11:44;5;7;0;0;0;0;30;5;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;16:26:44;9;12;0;0;0;0;43;10;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;16:41:44;14;18;0;0;0;0;57;13;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;16:56:44;20;25;0;0;0;0;72;20;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;17:11:44;23;29;0;0;0;0;82;21;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;17:26:44;29;36;0;0;0;0;96;27;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;17:41:44;34;41;0;0;0;0;108;33;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;17:56:44;39;48;0;0;0;0;121;36;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;18:11:44;46;55;0;0;0;0;135;43;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;18:26:44;50;61;0;0;0;0;146;45;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;18:41:44;58;68;0;0;0;0;160;53;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;18:56:44;60;72;0;0;0;0;169;53;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;19:11:44;66;79;0;0;0;0;182;58;148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;19:26:44;72;86;0;0;0;0;195;64;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;19:41:44;77;91;0;0;0;0;205;69;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;19:56:44;82;98;0;0;0;0;217;72;177;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;20:11:44;88;105;0;0;0;0;230;77;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;20:26:44;94;112;0;0;0;0;242;82;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;20:41:44;97;115;0;0;0;0;251;86;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;20:56:44;102;121;0;0;0;0;263;88;215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.02.2020;21:11:44;108;128;0;0;0;0;275;93;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
