Start Date;13.02.2020
Start Time;17:51:24
Store Interval;15;min
Threshold;1.0;Volt
Puls On Time;1000;ms
Puls Off Time;3000;ms

Date;Time;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30
13.02.2020;18:06:24;7;14;0;0;15;21;123;11;24;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;18:21:24;18;33;0;0;35;45;241;27;53;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;18:36:24;32;53;3;0;55;70;356;43;84;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;18:51:24;45;73;8;3;75;95;468;60;116;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;19:06:24;60;94;13;8;94;121;576;77;147;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;19:21:24;74;114;19;14;114;146;682;94;180;0;71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;19:36:24;88;135;24;19;134;172;785;110;212;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;19:51:24;103;157;30;25;153;198;885;127;245;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;20:06:24;118;178;35;31;172;225;983;143;278;0;108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;20:21:24;133;200;41;37;191;251;1080;160;311;0;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;20:36:24;148;222;46;42;211;278;1174;176;343;0;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;20:51:24;164;245;52;48;231;305;1266;193;377;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;21:06:24;175;263;55;50;246;328;1354;205;406;0;152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;21:21:24;191;286;57;54;266;356;1443;221;439;0;164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;21:36:24;207;309;63;60;286;383;1531;238;473;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;21:51:24;223;332;68;66;305;411;1617;254;507;0;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;22:06:24;239;355;74;72;324;439;1702;270;541;0;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;22:21:24;256;378;79;78;344;467;1785;287;576;0;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;22:36:24;273;402;85;84;363;495;1867;303;610;0;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;22:51:24;290;425;90;90;382;523;1948;319;645;0;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;23:06:24;307;449;95;96;401;552;2027;335;681;0;245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;23:21:24;324;473;101;102;421;580;2105;351;716;0;256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;23:36:24;342;497;106;108;440;609;2182;367;752;0;267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.02.2020;23:51:24;359;521;111;115;458;637;2258;383;788;0;278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
